Security Code,Security Name,Name of Person,Category of person,Type of Securities held Prior to acquisition/Disposed),Number of Securities held Prior to acquisition/Disposed,%   of  Securities held Prior to acquisition/Disposed,Type of Securities Acquired/Disposed/Pledge etc.,Number of Securities Acquired/Disposed/Pledge etc.,Value  of Securities Acquired/Disposed/Pledge etc,Transaction Type ( Buy/Sale/Pledge/Revoke/Invoke),Type of Securities held Post  acquisition/Disposed/Pledge  etc,Number of Securities held Post  acquisition/Disposed/Pledge etc,Post-Transaction % of Shareholding,Date of acquisition of shares/sale of shares/Date of Allotment(From date),Date of acquisition of shares/sale of shares/Date of Allotment( To date  ),Date of Intimation to Company,Mode of Acquisition,Trading in Derivative - Type of Contract,Derivative Contract  Specification,Derivatives - Buy Value (Notional),Derivatives - Buy-Number of Units(Contracts*lot size),Derivatives - Sales Value (Notional),Derivatives - Sales-Number of Units(Contracts * lot size),Exchange on which the Trade was executed,Reported to Exchange
531531,Hatsun Agro Product Ltd,Thanarajan K S,Director,Equity Shares,668179,0.30,Equity Shares,200000,0.00,Disposal,Equity,468179,0.21,09 Jun 2026,09 Jun 2026,10 Jun 2026,Off Market,,,,,,,NA,11 Jun 2026
532927,eClerx Services Ltd,Eclerx Employee Welfare,Trust,Equity,2074829,2.21,Equity,18150,25061223.00,Disposal,-,2056679,2.19,10 Jun 2026,10 Jun 2026,10 Jun 2026,Market Sale,,,,,,,NSE,11 Jun 2026
532927,eClerx Services Ltd,Eclerx Employee Welfare,Trust,Equity,2082073,2.21,Equity,7244,10175910.00,Disposal,-,2074829,2.21,10 Jun 2026,10 Jun 2026,10 Jun 2026,Market Sale,,,,,,,NSE,11 Jun 2026
539383,Mahaveer Infoway Ltd,Rajender Kumar  Jain,Promoter,Equity Shares,46000,0.83,Equity Shares,46000,552000.00,Disposal,Equity,0,0.00,09 Jun 2026,09 Jun 2026,09 Jun 2026,Off Market,,,,,,,BSE,11 Jun 2026
539383,Mahaveer Infoway Ltd,Kamal Kumar Kothari,Promoter,Equity Shares,105000,1.91,Equity Shares,105000,126000.00,Disposal,Equity,0,0.00,09 Jun 2026,09 Jun 2026,09 Jun 2026,Off Market,,,,,,,BSE,11 Jun 2026
539383,Mahaveer Infoway Ltd,Ashok Kumar Jain,Promoter,Equity Shares,1758028,31.91,Equity Shares,151000,1812000.00,Acquisition,Equity,1909028,34.65,09 Jun 2026,09 Jun 2026,09 Jun 2026,Off Market,,,,,,,BSE,11 Jun 2026
503811,Siyaram Silk Mills Ltd-$,Gaurav Poddar,Promoter & Director,Equity Shares,2091814,4.61,Equity Shares,170583,0.00,Acquisition,Equity,2262397,4.99,08 Jun 2026,08 Jun 2026,10 Jun 2026,Gift,,,,,,,NA,11 Jun 2026
503811,Siyaram Silk Mills Ltd-$,Anurag Poddar,Promoter,Equity Shares,1740404,3.84,Equity Shares,228083,0.00,Acquisition,Equity,1968487,4.34,08 Jun 2026,08 Jun 2026,10 Jun 2026,Gift,,,,,,,NA,11 Jun 2026
503811,Siyaram Silk Mills Ltd-$,Ankit Poddar,Promoter,Equity Shares,2091813,4.61,Equity Shares,170583,0.00,Acquisition,Equity,2262396,4.99,08 Jun 2026,08 Jun 2026,10 Jun 2026,Gift,,,,,,,NA,11 Jun 2026
503811,Siyaram Silk Mills Ltd-$,Shrikishan Poddar,Promoter & Director,Equity Shares,1028593,2.27,Equity Shares,1028500,0.00,Disposal,Equity,93,0.00,08 Jun 2026,08 Jun 2026,10 Jun 2026,Gift,,,,,,,NA,11 Jun 2026
